Name,Description,Type,Unit
cutPointVPA-hourOfWeekday-7-avg,Accelerometer-derived cut-point-based vigorous physical activity 07:00 - 07:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-8-avg,Accelerometer-derived cut-point-based vigorous physical activity 08:00 - 08:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-9-avg,Accelerometer-derived cut-point-based vigorous physical activity 09:00 - 09:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-10-avg,Accelerometer-derived cut-point-based vigorous physical activity 10:00 - 10:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-11-avg,Accelerometer-derived cut-point-based vigorous physical activity 11:00 - 11:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-12-avg,Accelerometer-derived cut-point-based vigorous physical activity 12:00 - 12:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-13-avg,Accelerometer-derived cut-point-based vigorous physical activity 13:00 - 13:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-14-avg,Accelerometer-derived cut-point-based vigorous physical activity 14:00 - 14:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-15-avg,Accelerometer-derived cut-point-based vigorous physical activity 15:00 - 15:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-16-avg,Accelerometer-derived cut-point-based vigorous physical activity 16:00 - 16:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-17-avg,Accelerometer-derived cut-point-based vigorous physical activity 17:00 - 17:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-18-avg,Accelerometer-derived cut-point-based vigorous physical activity 18:00 - 18:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-19-avg,Accelerometer-derived cut-point-based vigorous physical activity 19:00 - 19:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-20-avg,Accelerometer-derived cut-point-based vigorous physical activity 20:00 - 20:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-21-avg,Accelerometer-derived cut-point-based vigorous physical activity 21:00 - 21:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-22-avg,Accelerometer-derived cut-point-based vigorous physical activity 22:00 - 22:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekday-23-avg,Accelerometer-derived cut-point-based vigorous physical activity 23:00 - 23:59 weekday proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-0-avg,Accelerometer-derived cut-point-based vigorous physical activity 00:00 - 00:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-1-avg,Accelerometer-derived cut-point-based vigorous physical activity 01:00 - 01:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-2-avg,Accelerometer-derived cut-point-based vigorous physical activity 02:00 - 02:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-3-avg,Accelerometer-derived cut-point-based vigorous physical activity 03:00 - 03:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-4-avg,Accelerometer-derived cut-point-based vigorous physical activity 04:00 - 04:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-5-avg,Accelerometer-derived cut-point-based vigorous physical activity 05:00 - 05:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-6-avg,Accelerometer-derived cut-point-based vigorous physical activity 06:00 - 06:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-7-avg,Accelerometer-derived cut-point-based vigorous physical activity 07:00 - 07:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-8-avg,Accelerometer-derived cut-point-based vigorous physical activity 08:00 - 08:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-9-avg,Accelerometer-derived cut-point-based vigorous physical activity 09:00 - 09:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-10-avg,Accelerometer-derived cut-point-based vigorous physical activity 10:00 - 10:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-11-avg,Accelerometer-derived cut-point-based vigorous physical activity 11:00 - 11:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-12-avg,Accelerometer-derived cut-point-based vigorous physical activity 12:00 - 12:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-13-avg,Accelerometer-derived cut-point-based vigorous physical activity 13:00 - 13:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-14-avg,Accelerometer-derived cut-point-based vigorous physical activity 14:00 - 14:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-15-avg,Accelerometer-derived cut-point-based vigorous physical activity 15:00 - 15:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-16-avg,Accelerometer-derived cut-point-based vigorous physical activity 16:00 - 16:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-17-avg,Accelerometer-derived cut-point-based vigorous physical activity 17:00 - 17:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-18-avg,Accelerometer-derived cut-point-based vigorous physical activity 18:00 - 18:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-19-avg,Accelerometer-derived cut-point-based vigorous physical activity 19:00 - 19:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-20-avg,Accelerometer-derived cut-point-based vigorous physical activity 20:00 - 20:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-21-avg,Accelerometer-derived cut-point-based vigorous physical activity 21:00 - 21:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-22-avg,Accelerometer-derived cut-point-based vigorous physical activity 22:00 - 22:59 weekend proportion average,numeric,proportion of time
cutPointVPA-hourOfWeekend-23-avg,Accelerometer-derived cut-point-based vigorous physical activity 23:00 - 23:59 weekend proportion average,numeric,proportion of time
acc-ecdf-1mg,Proportion of time when acceleration was  1 mg,numeric,N/A
acc-ecdf-2mg,Proportion of time when acceleration was  2 mg,numeric,N/A
acc-ecdf-3mg,Proportion of time when acceleration was  3 mg,numeric,N/A
acc-ecdf-4mg,Proportion of time when acceleration was  4 mg,numeric,N/A
acc-ecdf-5mg,Proportion of time when acceleration was  5 mg,numeric,N/A
acc-ecdf-6mg,Proportion of time when acceleration was  6 mg,numeric,N/A
acc-ecdf-7mg,Proportion of time when acceleration was  7 mg,numeric,N/A
acc-ecdf-8mg,Proportion of time when acceleration was  8 mg,numeric,N/A
acc-ecdf-9mg,Proportion of time when acceleration was  9 mg,numeric,N/A
acc-ecdf-10mg,Proportion of time when acceleration was  10 mg,numeric,N/A
acc-ecdf-11mg,Proportion of time when acceleration was  11 mg,numeric,N/A
acc-ecdf-12mg,Proportion of time when acceleration was  12 mg,numeric,N/A
acc-ecdf-13mg,Proportion of time when acceleration was  13 mg,numeric,N/A
acc-ecdf-14mg,Proportion of time when acceleration was  14 mg,numeric,N/A
acc-ecdf-15mg,Proportion of time when acceleration was  15 mg,numeric,N/A
acc-ecdf-16mg,Proportion of time when acceleration was  16 mg,numeric,N/A
acc-ecdf-17mg,Proportion of time when acceleration was  17 mg,numeric,N/A
acc-ecdf-18mg,Proportion of time when acceleration was  18 mg,numeric,N/A
acc-ecdf-19mg,Proportion of time when acceleration was  19 mg,numeric,N/A
acc-ecdf-20mg,Proportion of time when acceleration was  20 mg,numeric,N/A
acc-ecdf-25mg,Proportion of time when acceleration was  25 mg,numeric,N/A
acc-ecdf-30mg,Proportion of time when acceleration was  30 mg,numeric,N/A
acc-ecdf-35mg,Proportion of time when acceleration was  35 mg,numeric,N/A
acc-ecdf-40mg,Proportion of time when acceleration was  40 mg,numeric,N/A
acc-ecdf-45mg,Proportion of time when acceleration was  45 mg,numeric,N/A
acc-ecdf-50mg,Proportion of time when acceleration was  50 mg,numeric,N/A
acc-ecdf-55mg,Proportion of time when acceleration was  55 mg,numeric,N/A
acc-ecdf-60mg,Proportion of time when acceleration was  60 mg,numeric,N/A
acc-ecdf-65mg,Proportion of time when acceleration was  65 mg,numeric,N/A
acc-ecdf-70mg,Proportion of time when acceleration was  70 mg,numeric,N/A
acc-ecdf-75mg,Proportion of time when acceleration was  75 mg,numeric,N/A
acc-ecdf-80mg,Proportion of time when acceleration was  80 mg,numeric,N/A
acc-ecdf-85mg,Proportion of time when acceleration was  85 mg,numeric,N/A
acc-ecdf-90mg,Proportion of time when acceleration was  90 mg,numeric,N/A
acc-ecdf-95mg,Proportion of time when acceleration was  95 mg,numeric,N/A
acc-ecdf-100mg,Proportion of time when acceleration was  100 mg,numeric,N/A
acc-ecdf-125mg,Proportion of time when acceleration was  125 mg,numeric,N/A
acc-ecdf-150mg,Proportion of time when acceleration was  150 mg,numeric,N/A
acc-ecdf-175mg,Proportion of time when acceleration was  175 mg,numeric,N/A
acc-ecdf-200mg,Proportion of time when acceleration was  200 mg,numeric,N/A
acc-ecdf-225mg,Proportion of time when acceleration was  225 mg,numeric,N/A
acc-ecdf-250mg,Proportion of time when acceleration was  250 mg,numeric,N/A
acc-ecdf-275mg,Proportion of time when acceleration was  275 mg,numeric,N/A
acc-ecdf-300mg,Proportion of time when acceleration was  300 mg,numeric,N/A
acc-ecdf-325mg,Proportion of time when acceleration was  325 mg,numeric,N/A
acc-ecdf-350mg,Proportion of time when acceleration was  350 mg,numeric,N/A
acc-ecdf-375mg,Proportion of time when acceleration was  375 mg,numeric,N/A
acc-ecdf-400mg,Proportion of time when acceleration was  400 mg,numeric,N/A
acc-ecdf-425mg,Proportion of time when acceleration was  425 mg,numeric,N/A
acc-ecdf-450mg,Proportion of time when acceleration was  450 mg,numeric,N/A
acc-ecdf-475mg,Proportion of time when acceleration was  475 mg,numeric,N/A
acc-ecdf-500mg,Proportion of time when acceleration was  500 mg,numeric,N/A
acc-ecdf-600mg,Proportion of time when acceleration was  600 mg,numeric,N/A
acc-ecdf-700mg,Proportion of time when acceleration was  700 mg,numeric,N/A
acc-ecdf-800mg,Proportion of time when acceleration was  800 mg,numeric,N/A
acc-ecdf-900mg,Proportion of time when acceleration was  900 mg,numeric,N/A
acc-ecdf-1000mg,Proportion of time when acceleration was  1000 mg,numeric,N/A
acc-ecdf-1100mg,Proportion of time when acceleration was  1100 mg,numeric,N/A
acc-ecdf-1200mg,Proportion of time when acceleration was  1200 mg,numeric,N/A
acc-ecdf-1300mg,Proportion of time when acceleration was  1300 mg,numeric,N/A
acc-ecdf-1400mg,Proportion of time when acceleration was  1400 mg,numeric,N/A
acc-ecdf-1500mg,Proportion of time when acceleration was  1500 mg,numeric,N/A
acc-ecdf-1600mg,Proportion of time when acceleration was  1600 mg,numeric,N/A
acc-ecdf-1700mg,Proportion of time when acceleration was  1700 mg,numeric,N/A
acc-ecdf-1800mg,Proportion of time when acceleration was  1800 mg,numeric,N/A
acc-ecdf-1900mg,Proportion of time when acceleration was  1900 mg,numeric,N/A
acc-ecdf-2000mg,Proportion of time when acceleration was  2000 mg,numeric,N/A
PSD_sleep,Power spectral density of the sleep state over a 24h cycle,numeric,g2/s  
PSD_acc,Power spectral density of the acceleration signal over a 24h cycle,numeric,g2/s  
fourier-frequency_sleep,Dominant frequency (1/day) in the sleep state pattern using Fourier analysis,numeric,Hz  
M10L5,Relative amplitude between most active 10h and least active 5h periods,numeric,g  
<activity>-overall-avg,Accelerometer-derived <activity> overall proportion average,numeric,proportion of time
<activity>-overall-sd,Accelerometer-derived <activity> overall proportion variation,numeric,proportion of time
<activity>-week-avg,Accelerometer-derived <activity> week proportion average,numeric,proportion of time
<activity>-weekday-avg,Accelerometer-derived <activity> weekday proportion average,numeric,proportion of time
<activity>-weekend-avg,Accelerometer-derived <activity> weekend proportion average,numeric,proportion of time
<activity>-mon-avg,Accelerometer-derived <activity> Monday proportion average,numeric,proportion of time
<activity>-tue-avg,Accelerometer-derived <activity> Tuesday proportion average,numeric,proportion of time
<activity>-wed-avg,Accelerometer-derived <activity> Wednesday proportion average,numeric,proportion of time
<activity>-thu-avg,Accelerometer-derived <activity> Thursday proportion average,numeric,proportion of time
<activity>-fri-avg,Accelerometer-derived <activity> Friday proportion average,numeric,proportion of time
<activity>-sat-avg,Accelerometer-derived <activity> Saturday proportion average,numeric,proportion of time
<activity>-sun-avg,Accelerometer-derived <activity> Sunday proportion average,numeric,proportion of time
<activity>-hourOfDay-0-avg,Accelerometer-derived <activity> 00:00 - 00:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-1-avg,Accelerometer-derived <activity> 01:00 - 01:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-2-avg,Accelerometer-derived <activity> 02:00 - 02:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-3-avg,Accelerometer-derived <activity> 03:00 - 03:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-4-avg,Accelerometer-derived <activity> 04:00 - 04:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-5-avg,Accelerometer-derived <activity> 05:00 - 05:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-6-avg,Accelerometer-derived <activity> 06:00 - 06:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-7-avg,Accelerometer-derived <activity> 07:00 - 07:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-8-avg,Accelerometer-derived <activity> 08:00 - 08:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-9-avg,Accelerometer-derived <activity> 09:00 - 09:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-10-avg,Accelerometer-derived <activity> 10:00 - 10:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-11-avg,Accelerometer-derived <activity> 11:00 - 11:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-12-avg,Accelerometer-derived <activity> 12:00 - 12:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-13-avg,Accelerometer-derived <activity> 13:00 - 13:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-14-avg,Accelerometer-derived <activity> 14:00 - 14:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-15-avg,Accelerometer-derived <activity> 15:00 - 15:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-16-avg,Accelerometer-derived <activity> 16:00 - 16:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-17-avg,Accelerometer-derived <activity> 17:00 - 17:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-18-avg,Accelerometer-derived <activity> 18:00 - 18:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-19-avg,Accelerometer-derived <activity> 19:00 - 19:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-20-avg,Accelerometer-derived <activity> 20:00 - 20:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-21-avg,Accelerometer-derived <activity> 21:00 - 21:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-22-avg,Accelerometer-derived <activity> 22:00 - 22:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-23-avg,Accelerometer-derived <activity> 23:00 - 23:59 proportion average,numeric,proportion of time
<activity>-hourOfWeekday-0-avg,Accelerometer-derived <activity> 00:00 - 00:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-1-avg,Accelerometer-derived <activity> 01:00 - 01:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-2-avg,Accelerometer-derived <activity> 02:00 - 02:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-3-avg,Accelerometer-derived <activity> 03:00 - 03:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-4-avg,Accelerometer-derived <activity> 04:00 - 04:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-5-avg,Accelerometer-derived <activity> 05:00 - 05:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-6-avg,Accelerometer-derived <activity> 06:00 - 06:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-7-avg,Accelerometer-derived <activity> 07:00 - 07:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-8-avg,Accelerometer-derived <activity> 08:00 - 08:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-9-avg,Accelerometer-derived <activity> 09:00 - 09:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-10-avg,Accelerometer-derived <activity> 10:00 - 10:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-11-avg,Accelerometer-derived <activity> 11:00 - 11:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-12-avg,Accelerometer-derived <activity> 12:00 - 12:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-13-avg,Accelerometer-derived <activity> 13:00 - 13:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-14-avg,Accelerometer-derived <activity> 14:00 - 14:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-15-avg,Accelerometer-derived <activity> 15:00 - 15:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-16-avg,Accelerometer-derived <activity> 16:00 - 16:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-17-avg,Accelerometer-derived <activity> 17:00 - 17:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-18-avg,Accelerometer-derived <activity> 18:00 - 18:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-19-avg,Accelerometer-derived <activity> 19:00 - 19:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-20-avg,Accelerometer-derived <activity> 20:00 - 20:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-21-avg,Accelerometer-derived <activity> 21:00 - 21:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-22-avg,Accelerometer-derived <activity> 22:00 - 22:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-23-avg,Accelerometer-derived <activity> 23:00 - 23:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekend-0-avg,Accelerometer-derived <activity> 00:00 - 00:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-1-avg,Accelerometer-derived <activity> 01:00 - 01:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-2-avg,Accelerometer-derived <activity> 02:00 - 02:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-3-avg,Accelerometer-derived <activity> 03:00 - 03:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-4-avg,Accelerometer-derived <activity> 04:00 - 04:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-5-avg,Accelerometer-derived <activity> 05:00 - 05:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-6-avg,Accelerometer-derived <activity> 06:00 - 06:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-7-avg,Accelerometer-derived <activity> 07:00 - 07:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-8-avg,Accelerometer-derived <activity> 08:00 - 08:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-9-avg,Accelerometer-derived <activity> 09:00 - 09:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-10-avg,Accelerometer-derived <activity> 10:00 - 10:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-11-avg,Accelerometer-derived <activity> 11:00 - 11:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-12-avg,Accelerometer-derived <activity> 12:00 - 12:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-13-avg,Accelerometer-derived <activity> 13:00 - 13:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-14-avg,Accelerometer-derived <activity> 14:00 - 14:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-15-avg,Accelerometer-derived <activity> 15:00 - 15:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-16-avg,Accelerometer-derived <activity> 16:00 - 16:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-17-avg,Accelerometer-derived <activity> 17:00 - 17:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-18-avg,Accelerometer-derived <activity> 18:00 - 18:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-19-avg,Accelerometer-derived <activity> 19:00 - 19:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-20-avg,Accelerometer-derived <activity> 20:00 - 20:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-21-avg,Accelerometer-derived <activity> 21:00 - 21:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-22-avg,Accelerometer-derived <activity> 22:00 - 22:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-23-avg,Accelerometer-derived <activity> 23:00 - 23:59 weekend proportion average,numeric,proportion of time
